Tyler's Blog,铃某人无人所知的博客
"Tyler's personal blog for sharing works, ideas, experience ect.","铃某人的个人博客，作为一个pythoner分享作品、想法、经验的地方"
"Unofficial Jolla Chinese blog. Chinese translation of Jolla's posts and other ideas about Jolla","非官方Jolla中文博客。Jolla文章的中文翻译和更多关于Jolla的想法"
submit,提交
Bold,加粗
Italic,斜体
Added Content,新增内容
Strike,删除线
Delete,删除
Indent,缩进
Dedent,反缩进
URL,地址
Enter url here,输入地址
Enter shown text here,输入显示文字
shown text,显示文字
insert,插入
Insert Horizontal,插入水平线
Insert Unordered List,插入无序列表
Insert Ordered List,插入有序列表
Insert Link,插入连接
Remove Link,移除连接
Insert Image,插入图像
Upload File,上传文件
Code Block,代码块
Code Inline,行内代码
Heading Level 1,一级标题
Heading Level 2,二级标题
Heading Level 3,三级标题
Heading Level 4,四级标题
Heading Level 5,五级标题
Heading Level 6,六级标题
Paragraph,段落
Undo,撤消
Redo,重做
preview,预览
Switch to MarkDown Editor,切换到MarkDown编辑器
Switch to WYSIWYG Editor,切换到所见即所得编辑器
Can not find the page you request,没有找到你要的页面
Login,登录
Signin,注册
User Name,用户名
Email,邮箱
User Name or Email,用户名或邮箱
Password,密码
Enter your user user name,输入用户名
Enter your email,输入邮箱
Enter your user name or email,输入用户名或密码
Enter your password,输入密码
Confirm Password,确认密码
Re-enter your password,再次输入你的密码
Forget your password,忘了密码
Remember me forever,记住我一万年
Already have an account?,已有账号?
"Sorry, my site doesn't support SSL secure data transfer so far. Please ensure you're under a secure network environment.","抱歉，站点暂时不支持SSL安全数据传输。请确保您的网络环境是安全的。"
Signing...,注册中…
Logining...,登录中…
Enter user name,输入用户名
Enter your user name,输入你的用户名

"You are using a browser which is <strong>out of date</strong> and we can't handle it correctly. Please <a href=""http://updatemybrowser.org/"" target=""_blank"">update your browser</a>, THX!","你正在使用<strong>过时</strong>的浏览器，我们无法正确为其处理页面。请 <a href=""http://updatemybrowser.org/"" target=""_blank"">升级浏览器</a>以获得更好的体验！"
Continue reading,阅读全文

Edit Translation Task,编辑翻译任务
New Translation Task,新翻译任务
Article Information,文章信息
Source Link,原文链接
Author,作者
What is %(MarkDown)s,%(MarkDown)s是个啥
MarkDown Syntax Supported,支持MarkDown语法

translation,翻译
Prev Page,上一页
Next Page,下一页
Category,目录
Home,首页
Dashboard,控制面板
Logout,注销
Translate,翻译
Translate a Jolla Post,翻译Jolla文章
New Post,新文章
New Jolla Translation,新Jolla翻译

Finished,已完成
Title,标题
Translate Here,译文
Original Content,原文
Edit Source,编辑原文
Switch to,切换到
Hide Source,隐藏原文
Shared on (leave it blank if it hasn't shared on any other website),已转载至(留白即为首发)
Site Name,站点名
Enter the translation of the title,输入标题翻译
Add a new record,新增一条记录
Submit,提交
Hide my email,隐藏我的邮箱
Enter site name,输入站点名称
Enter URL,输入网址

Posted by %(name)s%(email)s at %(time)s, %(name)s%(email)s发表于%(time)s
Unofficial Jolla Chinese Blog,非官方Jolla中文博客

Main Page,主页
Some basic information,基本信息
Administor,管理员
Super User,超级用户
Root,超级用户
friend,朋友
Your account is deactive,账户未激活
Please verify your email to active your account,请查看邮箱以激活账户
"Visit ""Security"" panel for more detail","查看""安全""选项卡查看详情"
"Hi {user}, my {type}, welcome back","嘿，{user}，我的{type}，欢迎回来"
Name,名称
Show My Email,显示我的邮箱
Avatar,头像
Articles,文章
Messages,信息
Images,图像
Files,文件
Gallery,画廊
Change,修改

Personal Info,个人信息
Personal Information,个人信息
Anything about you,关于你的二三事
"You can change your name, email and password in ""Security"" panel","你可以在“安全”面板中修改你的名称,邮件和密码"
My Personal Infomation,我的个人信息
User Group,用户组
Show Email,显示邮箱
Show my email when someone visits my homepage,在我的主页上显示我的邮箱
You havn't set avatar yet,你还没有设置头像呢
"Need upload? Visit ""{a}Gallery{a_end}"" panel","需要上传？看看“{a}画廊{a_end}”面板吧"
Change Avatar (URL),修改头像（地址）
Set Avatar (URL),设置头像（地址）
Image,图像
Preview,预览
Save,保存

Security,安全
Security Settings,安全设置
Anything about your account,关于你账户的那些事儿
Note changing user name or email may cause unexpected result,注意修改用户名和邮箱可能会导致意料之外的错误
"Please check your email ""%s"" to active your account","请查看邮箱“%s”来激活你的账号"
Please verify your email first,请先验证你的邮箱
Send Confirm Mail,发送验证邮件
Active,激活
Doesn't recive the email? Try this,没收到邮件？试试这个
Resend,重发

Article,文章
All your posts,你的文
info,信息
detail,详情
title,标题
source,源
board,板块
create time,创建时间
edit time,编辑时间
license,许可协议
show email,显示邮箱
shared,转载

Message,消息
Information,信息
All messages you received,给你一张过去的CD
To,给
Leave it blank if you want to send to site owner,如果需要传达给站长，请留白
Enter user name or email,输入用户名或邮箱
Enter the content,输入内容
Send,发送
You have no unread message,你没有未读信息

Uploaded,已上传
File,文件
All images you uploaded,已上传的所有图片
All files you uploaded,已上传的所有文件
Upload,上传


Manage,管理
Manage all Jolla posts,管理所有的Jolla文章

edit,编辑

"Hi %(visitor)s, I'm %(user_name)s","嘿%(visitor)s，我是%(user_name)s"
there,这位仁兄
My Name,我的名字
My Email,我的邮箱
Leave a Message,留言
Post Time,发布时间
Edit Time,编辑时间
Your email,你的邮箱
Leave %s a message,给%s飞鸽传封书

Manage all users in this site,一个都不能少
Actived,已激活

Back to tomorrow,返回tomorrow
Jolla Blog,Jolla博客
Unofficical Jolla Chinese Blog,Jolla非官方中文博客
Task List,任务列表
Back to home,返回首页
tr,译
Post,帖子
Cover Image,封面图片
User,用户

Show email on dashboard,主页上显示邮箱
Default Language,默认语言
English,英文
Chinese,中文
Depending on the browser,浏览器语言决定
Group,组
Normal User,普通用户
Admin,管理员
Enter the url of avatar,输入头像URL
Enter the url of your avatar image,输入你的头像URL
Enter email,输入邮件地址
Change Password,修改密码
Enter the password,输入密码
Re-enter the password,再次输入密码
Update your information,更新你的信息
New User Name,新用户名
Enter your new email,输入新邮箱
New Email,新邮箱
New Password,新密码
"You need to enter the same password, you know that","你得输入相同的密码，你懂的"

Service,服务
Show Source,显示原文
Manage all the messages in this site,管理站点上所有信息
Recived Message,收到信息
Sent Message,发出信息
Send to,寄往
Send by,发自
select receivers,选择收件人
Send as email,以邮件发送
Send as message,以信息发送
select a user,选择一名用户

RSS Feed,RSS订阅
Weibo,微博
WeChat,微信
Source Code,源代码
Input your doc string,输入doc内容
Config,设置
Not support here,这里不支持此参数
(Input Your command),输入参数
Find a bug? {mark}Tell me here!{mark_end},发现了个BUG？{mark}告诉我拍死它！{mark_end}
Oops... Nothing here.,这里什么都没有，施主还是请回吧。
"Don't forget to announce a license at the end of your work. {mark}Creative Commons{mark_end} is strongly suggested.","别忘了在作品底部添加版权声明。强烈推荐使用{mark}CC协议{mark_end}。"

Project,项目
An easy & pythonic way to create your command-line interface,一个简洁易用而Pythonic的方式创建你的命令行交互接口
An Android icon set in Sailfish OS style,Sailfish系统风格的安卓图标集，专为Jolla设计
A Windows keyboard shortcut program,Windows下的快捷键程序
Introduction,介绍
introduction,介绍
Tag,标签
Language,语言
Load %s content,载入%s内容
Edit,编辑
Board,板块
Test,测试
All the content in this website without copyright specification is under {a}CC License {img}{a_end},本站所有未声明权利的内容均遵循{a}CC协议 {img}{a_end}
original,原创
the other half,另一半
events,事件
development,开发
partner stories,合作伙伴故事
jolla story,jolla故事
open source,开源
applications,应用
"hack'n'play","骇玩"
strategy,策略
community,社区
jolla smartphone,jolla手机
accessories,附件
sailfish os,sailfish系统
jolla blog,jolla博客
jolla tablet,jolla平板
hardware,硬件
developer stories,开发者故事
design,设计
iterations,迭代
software updates,软件更新
